,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospiracea_incertae_sedis,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Paraprevotella,k__Bacteria;p__Firmicutes;c__Negativicutes;o__Selenomonadales;f__Veillonellaceae;g__Dialister,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Parabacteroides,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides,k__Bacteria;p__Fusobacteria;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Clostridium_XIX,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Barnesiella,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Subdoligranulum,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes,k__Bacteria;p__Firmicutes;c__Negativicutes;o__Selenomonadales;f__Acidaminococcaceae;g__Phascolarctobacterium,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Sutterellaceae;g__Parasutterella,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Roseburia,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Sutterellaceae;g__Sutterella,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;g__Escherichia/Shigella,k__Bacteria;p__Firmicutes;c__Negativicutes;o__Selenomonadales;f__Acidaminococcaceae;g__Acidaminococcus,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Faecalibacterium,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella,k__Bacteria;p__Firmicutes;c__Negativicutes;o__Selenomonadales;f__Veillonellaceae;g__Mitsuokella,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Alloprevotella,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Hallella,k__Bacteria;p__Firmicutes;c__Negativicutes;o__Selenomonadales;f__Veillonellaceae;g__Megamonas,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Clostridium_XlVb,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Odoribacter,k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Verrucomicrobiaceae;g__Akkermansia,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae;g__Haemophilus,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Pseudoflavonifractor,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Ruminococcus2,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Oscillibacter,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Howardella,k__Bacteria;p__Firmicutes;c__Negativicutes;o__Selenomonadales;f__Veillonellaceae;g__Megasphaera,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcus,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium,k__Bacteria;p__Fusobacteria;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Blautia,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Butyricimonas
nash_wong-SRR442176,0.0,0.0,0.0,0.03773584905660377,0.7046759639048401,0.0,0.0,0.0,0.0,0.03773584905660378,0.009023789991796555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nash_wong-SRR442177,0.0,0.0,0.0,0.017351598173515982,0.8328767123287671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13881278538812786,0.0,0.005936073059360731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00502283105022831
nash_wong-SRR442178,0.0,0.0,0.0,0.0314900153609831,0.6451612903225806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13901689708141324,0.0,0.0,0.0,0.0,0.0,0.03456221198156682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007680491551459293,0.0,0.0,0.0,0.0
nash_wong-SRR442179,0.0,0.0,0.0,0.0,0.6973947895791582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012692050768203072,0.0,0.0,0.23179692718770875,0.0,0.0,0.0,0.0,0.02070808283233133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nash_wong-SRR442180,0.019961051606621226,0.0,0.0,0.004868549172346641,0.6368062317429406,0.0,0.0,0.0,0.0,0.0,0.0,0.04479065238558909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008276533592989289,0.0,0.0,0.015092502434274586,0.0,0.0,0.0,0.005355404089581304,0.0,0.0,0.0,0.0,0.004868549172346641,0.0
nash_wong-SRR442181,0.008381351492928235,0.0,0.0,0.006286013619696176,0.8816134101623887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028810895756940808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04452592980618125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nash_wong-SRR442182,0.0,0.0,0.0,0.0,0.8986058301647655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.050697084917617236,0.03506548373468525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010984368398817067,0.0,0.0,0.0,0.0,0.0
nash_wong-SRR442183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7988115449915112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nash_wong-SRR442184,0.0,0.0,0.0,0.0054027504911591355,0.9798624754420433,0.0,0.0,0.0,0.0,0.014734774066797643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nash_wong-SRR442185,0.026837806301050177,0.0,0.0,0.008168028004667444,0.7374562427071178,0.0,0.0,0.0,0.08051341890315053,0.0,0.0,0.0,0.0,0.009334889148191364,0.0,0.0470633994554648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0066122131466355505,0.030727343446129908,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nash_wong-SRR442186,0.0,0.036329588014981276,0.0,0.0,0.850936329588015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010861423220973783,0.0,0.04719101123595506,0.0,0.0,0.02958801498127341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nash_wong-SRR442187,0.0,0.0,0.0,0.024437927663734114,0.8318670576735094,0.0,0.0,0.0,0.007820136852394917,0.0,0.0,0.005376344086021506,0.0,0.0,0.0,0.12561094819159335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004887585532746823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nash_wong-SRR442188,0.0,0.0,0.0,0.014124293785310734,0.8644067796610171,0.0,0.0,0.0,0.05508474576271186,0.0,0.0,0.0,0.0,0.0,0.0,0.06638418079096045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nash_wong-SRR442189,0.0,0.0,0.0,0.0,0.85078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033203125,0.0,0.0,0.0,0.0,0.0421875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nash_wong-SRR442190,0.0,0.0,0.0,0.16974789915966387,0.7302521008403362,0.0,0.0,0.0,0.06722689075630252,0.0,0.0,0.010084033613445379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022689075630252103
nash_wong-SRR442191,0.05494505494505495,0.0,0.0,0.010175010175010175,0.5555555555555556,0.0,0.0,0.005698005698005698,0.014652014652014652,0.0,0.0,0.018315018315018316,0.0,0.0,0.0,0.014652014652014652,0.0,0.0,0.0,0.0,0.0,0.034595034595034595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1282051282051282,0.0,0.0
nash_wong-SRR442192,0.007916872835230085,0.0,0.0,0.0,0.9173676397822861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028203859475507173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nash_wong-SRR442193,0.0,0.0,0.0,0.029567053854276663,0.9630411826821542,0.0,0.0,0.0,0.0,0.007391763463569166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nash_wong-SRR442194,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nash_wong-SRR442195,0.0,0.0,0.0,0.012436844150796735,0.8118927322191994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0975514963078119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0186552662261951,0.0,0.0,0.01554605518849592,0.0,0.0,0.0
nash_wong-SRR442196,0.0,0.0,0.0,0.00752212389380531,0.9814159292035398,0.0,0.0,0.0,0.00663716814159292,0.004424778761061947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nash_wong-SRR442197,0.0,0.0,0.0,0.02257336343115124,0.835214446952596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011851015801354402,0.0,0.0,0.0,0.0,0.0,0.0,0.01636568848758465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08972911963882618,0.0,0.0
nash_wong-SRR442198,0.0,0.0,0.0,0.0826645264847512,0.7463884430176565,0.0,0.008025682182985553,0.0,0.0,0.011235955056179775,0.0,0.0,0.0,0.1420545746388443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nash_wong-SRR442199,0.0,0.0,0.0,0.0,0.7176554681915654,0.1887062187276626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05218012866333095,0.0,0.0,0.0,0.0,0.0,0.0
nash_wong-SRR442200,0.0,0.0,0.0,0.009012699713232281,0.9733715690290864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017615731257681278,0.0,0.0
nash_wong-SRR442201,0.0,0.0,0.0,0.12836185819070906,0.8594132029339854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012224938875305624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nash_wong-SRR442203,0.0,0.0,0.008319467554076539,0.0,0.16638935108153077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8252911813643926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
