,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Clostridium_IV,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Clostridium_XlVa,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospiracea_incertae_sedis,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Paraprevotella,k__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Turicibacter,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Butyricicoccus,k__Bacteria;p__Firmicutes;c__Negativicutes;o__Selenomonadales;f__Veillonellaceae;g__Dialister,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiales_Incertae_Sedis_XIII;g__Anaerovorax,k__Bacteria;p__Elusimicrobia;c__Elusimicrobia;o__Elusimicrobiales;f__Elusimicrobiaceae;g__Elusimicrobium,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Xylanibacter,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Parabacteroides,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae;g__Haemophilus,k__Bacteria;p__Firmicutes;c__Negativicutes;o__Selenomonadales;f__Veillonellaceae;g__Anaerovibrio,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Butyrivibrio,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Subdoligranulum,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Oribacterium,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Roseburia,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Sutterellaceae;g__Sutterella,k__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Catenibacterium,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Anaerostipes,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospira,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Faecalibacterium,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Coprococcus,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Coriobacteriales;f__Coriobacteriaceae;g__Eggerthella,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Flavonifractor,k__Bacteria;p__Firmicutes;c__Negativicutes;o__Selenomonadales;f__Veillonellaceae;g__Megamonas,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Odoribacter,k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Verrucomicrobiaceae;g__Akkermansia,k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Dorea,k__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Erysipelotrichaceae_incertae_sedis,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptostreptococcaceae;g__Clostridium_XI,k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Desulfovibrio,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Sporobacter,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae_1;g__Clostridium_sensu_stricto,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Ruminococcus2,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Oscillibacter,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Howardella,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcus,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Anaerotruncus,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Pseudoflavonifractor,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Blautia,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Butyricimonas,k__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Clostridium_XVIII
ob_zupancic-p158s1,0.001480932987782303,0.0,0.061828952239911146,0.0,0.0033320992225101815,0.0007404664938911515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00259163272861903,0.0037023324694557573,0.0,0.0,0.002961865975564606,0.0,0.0,0.0,0.0,0.019622362088115516,0.1432802665679378,0.5261014439096631,0.05405405405405406,0.0,0.0,0.0,0.0,0.0,0.0,0.0011106997408367272,0.034061458718992965,0.006293965198074788,0.004442798963346909,0.0,0.0022213994816734544,0.016660496112550906,0.020362828582006665,0.0,0.02073306182895224,0.01554979637171418,0.0007404664938911515,0.0033320992225101815,0.0,0.0
ob_zupancic-p106s1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13432835820895522,0.7164179104477613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ob_zupancic-p159s1,0.0,0.0,0.04484933426769447,0.0,0.0,0.0,0.0,0.000700770847932726,0.0,0.0,0.01051156271899089,0.0,0.0,0.0,0.6215837421163279,0.03714085494043448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06517168885774352,0.0,0.001401541695865452,0.0,0.0,0.0,0.00700770847932726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1401541695865452,0.008409250175192713,0.01051156271899089,0.03363700070077085,0.0,0.0,0.0,0.0,0.0
ob_zupancic-224,0.0,0.0,0.05263157894736842,0.0,0.0,0.0,0.0,0.0007627765064836003,0.0,0.0,0.0,0.0,0.0,0.0,0.02974828375286041,0.016781083142639205,0.0,0.0,0.013729977116704806,0.009153318077803204,0.0,0.0,0.0007627765064836003,0.0,0.4195270785659802,0.1845919145690313,0.0038138825324180014,0.0,0.0,0.0,0.0,0.0,0.0,0.010678871090770405,0.0,0.007627765064836003,0.0,0.0,0.011441647597254006,0.13882532418001525,0.0007627765064836003,0.0,0.0,0.0007627765064836003,0.0,0.013729977116704806,0.0,0.0
ob_zupancic-471,0.0,0.0,0.002306805074971165,0.0,0.010380622837370242,0.002306805074971165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06113033448673587,0.02422145328719723,0.0,0.0,0.002306805074971165,0.0,0.002306805074971165,0.002306805074971165,0.0,0.04498269896193772,0.4590542099192618,0.09342560553633218,0.006920415224913495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03344867358708189,0.040369088811995385,0.0,0.0,0.0196078431372549,0.008073817762399078,0.002306805074971165,0.002306805074971165,0.031141868512110725,0.0,0.0,0.020761245674740483,0.0,0.0
ob_zupancic-p133s1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5210991167811581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11089303238469088,0.05397448478900883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ob_zupancic-p79s1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008,0.012571428571428574,0.021714285714285714,0.0,0.0,0.011428571428571429,0.0,0.0,0.002285714285714286,0.0034285714285714284,0.016,0.09257142857142858,0.45828571428571435,0.013714285714285715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06971428571428571,0.010285714285714287,0.0,0.0,0.054857142857142854,0.02857142857142857,0.01142857142857143,0.004571428571428572,0.001142857142857143,0.0,0.0,0.011428571428571429,0.0,0.0
ob_zupancic-p36s1,0.0186536901865369,0.0,0.0072992700729927005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0227088402270884,0.0,0.0,0.0,0.2238442822384428,0.0,0.0,0.0,0.0,0.0,0.0,0.016220600162206,0.0,0.0754257907542579,0.0024330900243309003,0.3122465531224655,0.0178426601784266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04866180048661801,0.016220600162206,0.0,0.0008110300081103001,0.07137064071370641,0.0,0.0,0.0,0.0,0.0,0.021086780210867802,0.0,0.0
ob_zupancic-p71s1,0.0,0.0,0.12028301886792453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009433962264150943,0.0,0.0,0.0,0.04481132075471698,0.0,0.0,0.0,0.01179245283018868,0.0,0.0,0.0,0.0,0.007075471698113208,0.05896226415094339,0.6674528301886793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0023584905660377358,0.0,0.0,0.0,0.0,0.007075471698113208,0.0047169811320754715,0.0,0.0
ob_zupancic-p152s1,0.0,0.0,0.003143418467583497,0.0,0.0019646365422396855,0.004715127701375246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010609037328094302,0.01218074656188605,0.006286836935166994,0.0,0.0,0.007465618860510805,0.0,0.0,0.007465618860510805,0.0019646365422396855,0.01807465618860511,0.04675834970530452,0.8168958742632613,0.005500982318271119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036935166994106094,0.0,0.0,0.0,0.0,0.0,0.0011787819253438114,0.0,0.0
ob_zupancic-29,0.002014098690835851,0.0,0.0005035246727089627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013091641490433032,0.020644511581067473,0.011581067472306143,0.0,0.014098690835850957,0.0,0.0,0.0,0.0,0.008056394763343404,0.23464249748237662,0.2985901309164149,0.032225579053373615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025176233635448137,0.025176233635448138,0.0,0.0,0.09113796576032225,0.015609264853977846,0.04179254783484391,0.0025176233635448137,0.005035246727089627,0.0,0.0,0.011581067472306143,0.0,0.0
ob_zupancic-406,0.0,0.0,0.0,0.0,0.0,0.001658374792703151,0.0,0.0,0.0,0.0,0.0038695411829740185,0.0,0.0,0.0,0.007739082365948037,0.00718629076838032,0.0,0.000552791597567717,0.009950248756218905,0.0,0.0,0.001105583195135434,0.0,0.008291873963515755,0.21006080707573244,0.6163626312880044,0.013819789939192924,0.0,0.0,0.0,0.0,0.0,0.006633499170812604,0.001105583195135434,0.02155887230514096,0.0,0.000552791597567717,0.0,0.000552791597567717,0.008291873963515755,0.001105583195135434,0.000552791597567717,0.006633499170812604,0.0,0.0,0.006633499170812604,0.0,0.0
ob_zupancic-346,0.0,0.004801920768307323,0.006002400960384154,0.0,0.003601440576230492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4117647058823529,0.0,0.01920768307322929,0.0012004801920768306,0.04441776710684274,0.0,0.0,0.012004801920768308,0.0,0.01800720288115246,0.1872749099639856,0.027611044417767107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006002400960384153,0.0,0.0,0.0012004801920768306,0.04561824729891956,0.01920768307322929,0.0,0.013205282112845138,0.0,0.0,0.05282112845138055,0.0,0.0
ob_zupancic-p95s1,0.0,0.0,0.001854140914709518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0064894932014833125,0.001854140914709518,0.0,0.0,0.0012360939431396785,0.0,0.009270704573547589,0.0,0.0,0.0,0.009579728059332509,0.9487021013597033,0.0,0.000927070457354759,0.0,0.0,0.0,0.0,0.0,0.0,0.00030902348578491963,0.0,0.0,0.0,0.0,0.012051915945611866,0.0,0.0,0.0,0.0,0.0,0.0012360939431396785,0.0,0.0
ob_zupancic-p10s1,0.0,0.0,0.00014240956992309884,0.0,0.0,0.00014240956992309884,0.0,0.0,0.0,0.0,0.0,0.0009968669894616917,0.0,0.0,0.002990600968385075,0.0002848191398461977,0.00014240956992309884,0.0,0.0009968669894616917,0.0011392765593847907,0.01965252064938764,0.0,0.0005696382796923954,0.0007120478496154941,0.012959270863001995,0.17331244659641126,0.00014240956992309884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004984334947308459,0.7650242096268869,0.0,0.0,0.006835659356308745,0.0042722870976929644,0.0007120478496154942,0.0,0.0,0.0,0.0,0.0002848191398461977,0.0,0.0
ob_zupancic-162,0.0,0.0,0.040740740740740744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0049382716049382715,0.0,0.0,0.0,0.15925925925925927,0.037037037037037035,0.0,0.0,0.007407407407407407,0.0,0.0,0.0,0.02345679012345679,0.0024691358024691358,0.17777777777777778,0.10864197530864197,0.0049382716049382715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20246913580246914,0.0,0.0,0.022222222222222223,0.03950617283950618,0.0,0.0,0.08641975308641975,0.020987654320987655,0.0024691358024691358,0.01604938271604938,0.0,0.0
ob_zupancic-401,0.0,0.0,0.0,0.0,0.004273504273504274,0.0,0.0,0.004807692307692308,0.0,0.0,0.0,0.0,0.0,0.0,0.05128205128205128,0.004807692307692308,0.002670940170940171,0.0,0.004273504273504274,0.0,0.006944444444444444,0.0,0.009615384615384616,0.002136752136752137,0.0982905982905983,0.07799145299145299,0.021367521367521368,0.0,0.0,0.0,0.0,0.0,0.0,0.004273504273504274,0.1987179487179487,0.02724358974358974,0.0005341880341880342,0.0,0.031517094017094016,0.05502136752136753,0.06463675213675213,0.0,0.025106837606837608,0.0,0.0,0.03632478632478632,0.0,0.003205128205128205
ob_zupancic-p17s1,0.0,0.0,0.005455537370430988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00436442989634479,0.0,0.0,0.0,0.26895799236224766,0.0070921985815602835,0.0,0.0,0.015275504637206765,0.0,0.0,0.0,0.0,0.004909983633387889,0.48063284233497,0.020731042007637753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0463720676486634,0.0,0.0,0.0,0.0,0.0,0.002182214948172395,0.0,0.0,0.0,0.0,0.0,0.07037643207855973,0.0,0.0
ob_zupancic-283,0.0,0.00040551500405515005,0.0,0.0,0.0,0.00040551500405515005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012165450121654502,0.0052716950527169504,0.0012165450121654502,0.0,0.03771289537712895,0.0,0.0,0.0048661800486618,0.0036496350364963502,0.029602595296025953,0.24493106244931062,0.0028386050283860506,0.013381995133819952,0.0,0.0,0.0,0.0,0.0,0.0,0.0016220600162206002,0.5681265206812652,0.021897810218978103,0.0,0.0,0.00040551500405515005,0.010948905109489052,0.00040551500405515005,0.0,0.00202757502027575,0.0,0.0,0.004866180048661801,0.0,0.0012165450121654502
